run_id,task_id,detector,stop_step,stop_utility,oracle_step,oracle_utility,oracle_gap,false_early,false_late,false_late_severity
deepseek_r1_distill_1p5b__gsm8k_train_00002_ae407466__temp0.10__seed7,gsm8k_train_00002_ae407466,never_stop,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,gsm8k_train_00003_135cf83f,oracle,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,gsm8k_train_00003_135cf83f,first_answer,1,0.0,2,0.95,0.95,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,gsm8k_train_00003_135cf83f,verifier_first_correct,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,gsm8k_train_00003_135cf83f,answer_stability,10,0.55,2,0.95,0.3999999999999999,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,gsm8k_train_00003_135cf83f,entropy_plateau,4,0.85,2,0.95,0.09999999999999998,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,gsm8k_train_00003_135cf83f,hazard_drift,3,0.9,2,0.95,0.04999999999999993,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,gsm8k_train_00003_135cf83f,empirical_bernstein,9,0.6,2,0.95,0.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00003_135cf83f__temp0.10__seed7,gsm8k_train_00003_135cf83f,never_stop,10,0.55,2,0.95,0.3999999999999999,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gsm8k_train_00004_3ee48c01,oracle,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gsm8k_train_00004_3ee48c01,first_answer,1,0.0,2,0.95,0.95,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gsm8k_train_00004_3ee48c01,verifier_first_correct,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gsm8k_train_00004_3ee48c01,answer_stability,10,-0.45,2,0.95,1.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gsm8k_train_00004_3ee48c01,entropy_plateau,4,-0.15,2,0.95,1.0999999999999999,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gsm8k_train_00004_3ee48c01,hazard_drift,4,-0.15,2,0.95,1.0999999999999999,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gsm8k_train_00004_3ee48c01,empirical_bernstein,9,-0.4,2,0.95,1.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00004_3ee48c01__temp0.10__seed7,gsm8k_train_00004_3ee48c01,never_stop,10,-0.45,2,0.95,1.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,gsm8k_train_00005_d0817615,oracle,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,gsm8k_train_00005_d0817615,first_answer,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,gsm8k_train_00005_d0817615,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,gsm8k_train_00005_d0817615,answer_stability,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,gsm8k_train_00005_d0817615,entropy_plateau,2,0.95,1,1.0,0.050000000000000044,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,gsm8k_train_00005_d0817615,hazard_drift,2,0.95,1,1.0,0.050000000000000044,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,gsm8k_train_00005_d0817615,empirical_bernstein,9,0.6,1,1.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00005_d0817615__temp0.10__seed7,gsm8k_train_00005_d0817615,never_stop,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,gsm8k_train_00006_4cf43e2d,oracle,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,gsm8k_train_00006_4cf43e2d,first_answer,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,gsm8k_train_00006_4cf43e2d,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,gsm8k_train_00006_4cf43e2d,answer_stability,10,-0.45,1,1.0,1.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,gsm8k_train_00006_4cf43e2d,entropy_plateau,2,0.95,1,1.0,0.050000000000000044,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,gsm8k_train_00006_4cf43e2d,hazard_drift,2,0.95,1,1.0,0.050000000000000044,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,gsm8k_train_00006_4cf43e2d,empirical_bernstein,9,0.6,1,1.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00006_4cf43e2d__temp0.10__seed7,gsm8k_train_00006_4cf43e2d,never_stop,10,-0.45,1,1.0,1.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,gsm8k_train_00007_40d1aba4,oracle,3,0.9,3,0.9,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,gsm8k_train_00007_40d1aba4,first_answer,1,0.0,3,0.9,0.9,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,gsm8k_train_00007_40d1aba4,verifier_first_correct,3,0.9,3,0.9,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,gsm8k_train_00007_40d1aba4,answer_stability,10,-0.45,3,0.9,1.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,gsm8k_train_00007_40d1aba4,entropy_plateau,10,-0.45,3,0.9,1.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,gsm8k_train_00007_40d1aba4,hazard_drift,10,-0.45,3,0.9,1.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,gsm8k_train_00007_40d1aba4,empirical_bernstein,9,0.6,3,0.9,0.30000000000000004,0,1,6
deepseek_r1_distill_1p5b__gsm8k_train_00007_40d1aba4__temp0.10__seed7,gsm8k_train_00007_40d1aba4,never_stop,10,-0.45,3,0.9,1.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,gsm8k_train_00008_cd4fe6cf,oracle,3,0.9,3,0.9,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,gsm8k_train_00008_cd4fe6cf,first_answer,1,0.0,3,0.9,0.9,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,gsm8k_train_00008_cd4fe6cf,verifier_first_correct,3,0.9,3,0.9,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,gsm8k_train_00008_cd4fe6cf,answer_stability,10,0.55,3,0.9,0.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,gsm8k_train_00008_cd4fe6cf,entropy_plateau,6,0.75,3,0.9,0.15000000000000002,0,1,3
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,gsm8k_train_00008_cd4fe6cf,hazard_drift,6,0.75,3,0.9,0.15000000000000002,0,1,3
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,gsm8k_train_00008_cd4fe6cf,empirical_bernstein,9,-0.4,3,0.9,1.3,0,1,6
deepseek_r1_distill_1p5b__gsm8k_train_00008_cd4fe6cf__temp0.10__seed7,gsm8k_train_00008_cd4fe6cf,never_stop,10,0.55,3,0.9,0.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,gsm8k_train_00009_a1cbbbd0,oracle,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,gsm8k_train_00009_a1cbbbd0,first_answer,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,gsm8k_train_00009_a1cbbbd0,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,gsm8k_train_00009_a1cbbbd0,answer_stability,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,gsm8k_train_00009_a1cbbbd0,entropy_plateau,9,-0.4,1,1.0,1.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,gsm8k_train_00009_a1cbbbd0,hazard_drift,3,0.9,1,1.0,0.09999999999999998,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,gsm8k_train_00009_a1cbbbd0,empirical_bernstein,9,-0.4,1,1.0,1.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00009_a1cbbbd0__temp0.10__seed7,gsm8k_train_00009_a1cbbbd0,never_stop,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,gsm8k_train_00010_8c587dfb,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,gsm8k_train_00010_8c587dfb,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,gsm8k_train_00010_8c587dfb,verifier_first_correct,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,gsm8k_train_00010_8c587dfb,answer_stability,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,gsm8k_train_00010_8c587dfb,entropy_plateau,5,-0.2,1,0.0,0.2,0,1,4
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,gsm8k_train_00010_8c587dfb,hazard_drift,5,-0.2,1,0.0,0.2,0,1,4
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,gsm8k_train_00010_8c587dfb,empirical_bernstein,9,-0.4,1,0.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00010_8c587dfb__temp0.10__seed7,gsm8k_train_00010_8c587dfb,never_stop,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,gsm8k_train_00011_127045f3,oracle,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,gsm8k_train_00011_127045f3,first_answer,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,gsm8k_train_00011_127045f3,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,gsm8k_train_00011_127045f3,answer_stability,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,gsm8k_train_00011_127045f3,entropy_plateau,2,0.95,1,1.0,0.050000000000000044,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,gsm8k_train_00011_127045f3,hazard_drift,2,0.95,1,1.0,0.050000000000000044,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,gsm8k_train_00011_127045f3,empirical_bernstein,9,0.6,1,1.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00011_127045f3__temp0.10__seed7,gsm8k_train_00011_127045f3,never_stop,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,gsm8k_train_00012_6cf7f4b8,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,gsm8k_train_00012_6cf7f4b8,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,gsm8k_train_00012_6cf7f4b8,verifier_first_correct,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,gsm8k_train_00012_6cf7f4b8,answer_stability,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,gsm8k_train_00012_6cf7f4b8,entropy_plateau,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,gsm8k_train_00012_6cf7f4b8,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,gsm8k_train_00012_6cf7f4b8,empirical_bernstein,9,-0.4,1,0.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00012_6cf7f4b8__temp0.10__seed7,gsm8k_train_00012_6cf7f4b8,never_stop,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,gsm8k_train_00013_6f2b17c2,oracle,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,gsm8k_train_00013_6f2b17c2,first_answer,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,gsm8k_train_00013_6f2b17c2,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,gsm8k_train_00013_6f2b17c2,answer_stability,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,gsm8k_train_00013_6f2b17c2,entropy_plateau,2,0.95,1,1.0,0.050000000000000044,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,gsm8k_train_00013_6f2b17c2,hazard_drift,2,0.95,1,1.0,0.050000000000000044,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,gsm8k_train_00013_6f2b17c2,empirical_bernstein,9,0.6,1,1.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00013_6f2b17c2__temp0.10__seed7,gsm8k_train_00013_6f2b17c2,never_stop,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,gsm8k_train_00014_f0103a9f,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,gsm8k_train_00014_f0103a9f,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,gsm8k_train_00014_f0103a9f,verifier_first_correct,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,gsm8k_train_00014_f0103a9f,answer_stability,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,gsm8k_train_00014_f0103a9f,entropy_plateau,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,gsm8k_train_00014_f0103a9f,hazard_drift,2,-0.05,1,0.0,0.05,0,1,1
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,gsm8k_train_00014_f0103a9f,empirical_bernstein,9,-0.4,1,0.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00014_f0103a9f__temp0.10__seed7,gsm8k_train_00014_f0103a9f,never_stop,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,gsm8k_train_00015_20b7f79a,oracle,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,gsm8k_train_00015_20b7f79a,first_answer,1,0.0,2,0.95,0.95,1,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,gsm8k_train_00015_20b7f79a,verifier_first_correct,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,gsm8k_train_00015_20b7f79a,answer_stability,10,0.55,2,0.95,0.3999999999999999,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,gsm8k_train_00015_20b7f79a,entropy_plateau,7,0.7,2,0.95,0.25,0,1,5
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,gsm8k_train_00015_20b7f79a,hazard_drift,2,0.95,2,0.95,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,gsm8k_train_00015_20b7f79a,empirical_bernstein,9,0.6,2,0.95,0.35,0,1,7
deepseek_r1_distill_1p5b__gsm8k_train_00015_20b7f79a__temp0.10__seed7,gsm8k_train_00015_20b7f79a,never_stop,10,0.55,2,0.95,0.3999999999999999,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,gsm8k_train_00016_0cef7ca3,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,gsm8k_train_00016_0cef7ca3,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,gsm8k_train_00016_0cef7ca3,verifier_first_correct,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,gsm8k_train_00016_0cef7ca3,answer_stability,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,gsm8k_train_00016_0cef7ca3,entropy_plateau,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,gsm8k_train_00016_0cef7ca3,hazard_drift,3,-0.1,1,0.0,0.1,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,gsm8k_train_00016_0cef7ca3,empirical_bernstein,9,-0.4,1,0.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00016_0cef7ca3__temp0.10__seed7,gsm8k_train_00016_0cef7ca3,never_stop,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,gsm8k_train_00017_89d492f6,oracle,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,gsm8k_train_00017_89d492f6,first_answer,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,gsm8k_train_00017_89d492f6,verifier_first_correct,1,1.0,1,1.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,gsm8k_train_00017_89d492f6,answer_stability,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,gsm8k_train_00017_89d492f6,entropy_plateau,4,0.85,1,1.0,0.15000000000000002,0,1,3
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,gsm8k_train_00017_89d492f6,hazard_drift,3,0.9,1,1.0,0.09999999999999998,0,1,2
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,gsm8k_train_00017_89d492f6,empirical_bernstein,9,0.6,1,1.0,0.4,0,1,8
deepseek_r1_distill_1p5b__gsm8k_train_00017_89d492f6__temp0.10__seed7,gsm8k_train_00017_89d492f6,never_stop,10,0.55,1,1.0,0.44999999999999996,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00018_86b6a534__temp0.10__seed7,gsm8k_train_00018_86b6a534,oracle,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00018_86b6a534__temp0.10__seed7,gsm8k_train_00018_86b6a534,first_answer,1,0.0,1,0.0,0.0,0,0,0
deepseek_r1_distill_1p5b__gsm8k_train_00018_86b6a534__temp0.10__seed7,gsm8k_train_00018_86b6a534,verifier_first_correct,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00018_86b6a534__temp0.10__seed7,gsm8k_train_00018_86b6a534,answer_stability,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00018_86b6a534__temp0.10__seed7,gsm8k_train_00018_86b6a534,entropy_plateau,10,-0.45,1,0.0,0.45,0,1,9
deepseek_r1_distill_1p5b__gsm8k_train_00018_86b6a534__temp0.10__seed7,gsm8k_train_00018_86b6a534,hazard_drift,10,-0.45,1,0.0,0.45,0,1,9
